Type of product,Category,Sub industry,Industry,Status,Generic product type,Search Modifiers
H1-All purpose cleaner,Households - 1. All-purpose cleaners,Home,Households,Catalogue 2024 S1,General purpose cleaner,
H2-Glass cleaner,Households - 2. Glass cleaners,Home,Households,Catalogue 2024 S1,Glass cleaner,
H3-Kitchen degreaser,Households - 3. Kitchen cleaners,Home,Households,Catalogue 2024 S1,Degreaser,
H3-Oven and grill cleaner,Households - 3. Kitchen cleaners,Home,Households,Catalogue 2024 S1,Degreaser,
H3-Stainless steel cleaner,Households - 3. Kitchen cleaners,Home,Households,Catalogue 2024 S1,Stainless steel cleaner,
H3-General sanitizer for vegetable and salad washing,Households - 3. Kitchen cleaners,Home,Households,Catalogue 2024 S1,Disinfectant and cleaner,
H4-Toilet bowl cleaner,Households - 4. Bathroom cleaners,Home,Households,Catalogue 2024 S1,"Toilet, shower and tile cleaner",
H4-Shower and tub cleaner,Households - 4. Bathroom cleaners,Home,Households,Catalogue 2024 S1,"Toilet, shower and tile cleaner",
H4-Mold and mildew remover,Households - 4. Bathroom cleaners,Home,Households,Catalogue 2024 S1,Disinfectant and cleaner,
H4-Tile and grout cleaner,Households - 4. Bathroom cleaners,Home,Households,Catalogue 2024 S1,"Toilet, shower and tile cleaner",
H5-Hardwood floor cleaner,Households - 5. Floor cleaners,Home,Households,Catalogue 2024 S1,Floor cleaner,
H5-Tile and laminate cleaner,Households - 5. Floor cleaners,Home,Households,Catalogue 2024 S1,Floor cleaner,
H5-Wax and floor polish,Households - 5. Floor cleaners,Home,Households,Catalogue 2024 S1,Floor polish,
H5-Marble cleaner,Households - 5. Floor cleaners,Home,Households,Catalogue 2024 S1,Marble floor cleaner,
H6-Wood polish for furniture,Households - 6. Furniture cleaners,Home,Households,Catalogue 2024 S1,Furniture polish,
H6-Leather cleaner,Households - 6. Furniture cleaners,Home,Households,Catalogue 2024 S1,Leather and vinyl cleaner,
H7-Carpet shampoo,Households - 7. Upholstery cleaners,Home,Households,Catalogue 2024 S1,Carpet shampoo,
H7-Spot remover for carpets,Households - 7. Upholstery cleaners,Home,Households,Catalogue 2024 S1,Stain remover,
