type_of_product,product,price_sar,unit_of_measurement,total_quantity
H1-All purpose cleaner,"Clorox Scentiva Spray, Multi-Surface Cleaner 500ml, Japanese Spring Flowers, No Bleach, Kills 99.9% of Viruses & Bacteria",18.45,ml,500.0
H1-All purpose cleaner,"Clorox Multi-Purpose Cleaner Spray with Bleach, 750ml, Kills 99.9% of Germs, 10X Stronger in Stain Removal",20.95,ml,750.0
H1-All purpose cleaner,"Dettol Lemon Healthy Home All Purpose Cleaner Trigger 500ml, Packaging may vary",18.99,ml,500.0
H1-All purpose cleaner,Mr. Muscle All Purpose Surface Cleaner Spray - Advanced Grime-Fighting Formula - Extra-Strength Kills 99.9% of Household Germs & Eliminates Soap Scum - Citrus Lime Scent - 500ml,15.95,ml,500.0
H1-All purpose cleaner,Clorox 409 All Purpose Cleaner Spray 750 ml,18.0,ml,750.0
H1-All purpose cleaner,"Zoflora Multipurpose Cleaner, Linen Fresh 800ml, Kitchen and Bathroom Cleaner Disinfectant Spray, Surface and Floor Cleaner, Antibacterial, Eliminates Unpleasant Odours",24.75,ml,800.0
H1-All purpose cleaner,Dettol Surface Cleanser Spray 500 ml,13.95,ml,500.0
H1-All purpose cleaner,"Clorox Scentiva Spray, Multi Surface Cleaner 500ml, Madagascar Citrus Orchard, No Bleach, Kills 99.9% of Viruses & Bacteria",18.45,ml,500.0
H1-All purpose cleaner,Mrs Meyer's 16OZ Lemon All Purpose Cleaner,50.0,fl oz,16.0
H1-All purpose cleaner,Stardrops The Pink stuff Miracle Multi-Purpose Cleaner Spray- 25.36 Fl Oz,31.0,fl oz,25.36
H1-All purpose cleaner,"Cetris Multi Purpose Cleaner Spray – Super Strength Degreaser (1 Liter) – Heavy Duty Cleaning Spray for Kitchen, Oven, Bathroom, Carpet, Car Engine, Tires & More.",20.25,L,1.0
H1-All purpose cleaner,"Jif Ultra Fast Cleaner Spray, Multipurpose, 100% stain and mold removal, 470ml",16.95,ml,470.0
H1-All purpose cleaner,"Zoflora Concentrated Disinfectant - Linen Fresh, 500 ml | Kills 99.9% of Germs | 24-Hour Fragrance | Antibacterial | Multipurpose Cleaner for Home, Kitchen & Bathroom",15.95,ml,500.0
H1-All purpose cleaner,"Zoflora Multipurpose Cleaner, Midnight Blooms 800ml, Kitchen and Bathroom Cleaner Disinfectant Spray, Surface and Floor Cleaner, Antibacterial, Eliminates Unpleasant Odours",24.75,ml,800.0
H1-All purpose cleaner,"Mr. Muscle All Purpose Lavender Liquid Floor Cleaner, For Advanced Cleaning & Freshness, 3L",25.0,L,3.0
H1-All purpose cleaner,"Zoflora Concentrated Disinfectant, Lavender 500ml, Floor Cleaner, Kitchen and Bathroom Cleaner, And Multi-purpose Surface Disinfectant",12.0,ml,500.0
H1-All purpose cleaner,Ecolunes Fragrance Free All Purpose Cleaner 500 ml,23.5,ml,500.0
H1-All purpose cleaner,"Method All-Purpose Cleaner Spray, French Lavender, Plant-Based and Biodegradable Formula Perfect for Most Counters, Tiles and More, 28 Fl Oz, (Pack of 1)",101.09,fl oz,28.0
H1-All purpose cleaner,"Al Emlaq Super Gel – Multi-Purpose General Cleaner with Pine Scent – Ideal for Floors, Surfaces, Bathrooms & Toilets – 500g",8.95,g,500.0
H1-All purpose cleaner,"Fantastik All-Purpose Cleaner, With Bleach, 32 Fl Oz",34.75,fl oz,32.0
H1-All purpose cleaner,"Frida Home All Purpose Home Cleaning Fragrance, Dark Forest, 480 ml, Pack of 1",16.65,ml,480.0
H1-All purpose cleaner,"Fantastik All-Purpose Cleaner Trigger, Fresh Scent, 32 fl oz",34.75,fl oz,32.0
H1-All purpose cleaner,"Bioneat Organic All Purpose Clean and Disinfect - 100% Natural, Non-Toxic - Antivirus, Biodegradable and Safe - 750 ml",60.85,ml,750.0
H1-All purpose cleaner,"Simple Green All Purpose Cleaner, 24 oz",29.75,fl oz,24.0
H1-All purpose cleaner,Zoflora-Multi-purpose Concentrated Disinfectant All Surface Cleaner-Floor Cleaner-Effective against bacteria & Viruses-Long Lasting Lemon Zing Fragrance-Eliminates Odour-All Day Fresh-500ml,15.95,ml,500.0
H1-All purpose cleaner,"Method All-Purpose Cleaner Spray, Lime + Sea Salt, Plant-Based and Biodegradable Formula Perfect for Most Counters, Tiles, Stone, and More, 28 oz Spray Bottles, (Pack of 1)",92.0,fl oz,28.0
H1-All purpose cleaner,"ATTITUDE All-Purpose Cleaner, EWG Verified, Streak-Free, Plant- and Mineral-Based, Vegan and Cruelty-free Multi Surface Cleaning Products, Citrus Zest, 800 mL",132.38,fl oz,27.1
H1-All purpose cleaner,"Zoflora Concentrated Disinfectant - Midnight Blooms, 250ml | Kills 99.9% of Germs | 24-Hour Fragrance | Antibacterial | Multipurpose Cleaner for Home, Kitchen & Bathroom",11.3,ml,250.0
H1-All purpose cleaner,"Mr Muscle Multi-Purpose Floor Cleaner & Detergent with Citrus Fragrance - Professional Formula for Tiles, Kitchen & Home Surfaces - Streak-Free Cleaning with Fresh Scent - 1 Litre",14.0,L,1.0
H1-All purpose cleaner,"Zoflora Multi-Purpose Disinfectant Spray, Antibacterial Spray for All Surfaces, 800ml, Lemon Zing",24.75,ml,800.0
H1-All purpose cleaner,"JIF Ultra Fast Cleaner Spray, Multipurpose, 100% Stain and Mold Removal, 500ml",19.97,ml,500.0
H1-All purpose cleaner,"Eya Clean Natural Pro All Purpose er, Multi Purpose Home and Kitchen ing Spray for Surface er, Floor er, Non Toxic, 100% organic- 100 ml",29.95,ml,100.0
H1-All purpose cleaner,"Frida Home All Purpose Home Cleaning Fragrance, Fruit Punch, 480 ml, Pack of 1",20.0,ml,480.0
H1-All purpose cleaner,Eya Clean Pro Natural Pro All-Purpose Cleaner 1000Ml,99.0,ml,1000.0
H1-All purpose cleaner,Method - All Purpose Cleaner Peach Blossom Spray 828Ml,34.0,ml,828.0
H1-All purpose cleaner,Method - All Purpose Cleaner Wild Rhubarb Refill - 2L,60.0,L,2.0
H1-All purpose cleaner,Method - All Purpose Cleaner Peach Blossom Refill - 2L,59.0,L,2.0
H1-All purpose cleaner,Method - Antibacterial All Purpose Cleaner Spray Refill  - Orange Yuzu - 2 L,56.0,L,2.0
H1-All purpose cleaner,"Ecover All Purpose Cleaner, 1l",27.0,L,1.0
H1-All purpose cleaner,9EASY - Antibacterial All Purpose Cleaner - 5L,22.0,L,5.0
H1-All purpose cleaner,9Easy - Antibacterial Disinfectant - Lemon - 3L,27.0,L,3.0
H1-All purpose cleaner,Stardrops Long Lasting Fresh Scent All-Purpose Miracle Cleaning Paste Pink 17.60Oz,39.95,fl oz,17.6
H2-Glass cleaner,Candorax Glass Cleaner 4 Liter Package design may vary,10.35,L,4.0
H2-Glass cleaner,"Dac Glass Cleaner, For Spotless and Sparkling Surfaces, Blue/White (2 x 650ML + 400ML) - Pack of Three",25.95,ml,650.0
H2-Glass cleaner,"Windex Original Blue Glass Cleaner Spray Bottle, 750ml - Powerful Window Cleaner for Streak-Free Shine - Removes Fingerprints & Smudges, Brightens Home - Fast-Acting Formula for Sparkling Results",11.95,ml,750.0
H2-Glass cleaner,Dac Glass Cleaner Regular 400Ml,8.95,ml,400.0
H2-Glass cleaner,"Dettol Glass Cleaner Spray Bottle, 500 ml",12.95,ml,500.0
H2-Glass cleaner,Bestclean Advanced Formula Glass Cleaner 500 ml,8.0,ml,500.0
H2-Glass cleaner,U-Do Glass Cleaner 4 Ltr,13.95,L,4.0
H2-Glass cleaner,"Stardrops The Pink Stuff The Miracle Window & Glass Cleaner 17.00, 750ml",25.0,ml,750.0
H2-Glass cleaner,"DAC Glass Cleaner, Spotless Shining and Streak-Free, 4L",51.0,L,4.0
H2-Glass cleaner,U-Do Liquid spray Window Cleaner - 700 ml x 2,11.75,ml,1400.0
H2-Glass cleaner,Candorax Advanced Glass Cleaner 1 Liter,8.75,L,1.0
H2-Glass cleaner,"Ghadeer Glass Cleaner, Liquid, 4L + 650 ml",27.5,L,4.65
H2-Glass cleaner,"JIF Ultra Fast Glass Cleaner Spray, for Window, 100% streak free shine , 500ml",12.95,ml,500.0
H2-Glass cleaner,"Green Clean Glass Cleaner – Blue – Streak-Free Shine for Windows, Mirrors & Glass Surfaces – 2L - ( BY Al Emlaq )",23.95,L,2.0
