Quotation date,Customer name,Channel (B2B or B2C),product_code,Odoo sales order,WAYAKIT Product name,Generic product type,Subindustry,Industry,Volume (L),Cost per unit (SAR),Predicted model price per unit (SAR),Predicted price per mL,Prediction message,Prediction case,Quoted quantity,quoted_price,Total quoted price (SAR),Quoted unit profit (SAR),Quoted margin (%),Price per liter,Total volume [L],Total profit,Absolute price difference (Quoted-Predicted),Percentage price difference (quoted/predicted),Notes about prediction vs quoted,"Accepted quoted price by client (Yes, No, Pending)",Confirmed order,Invoice date,Sold quantity,Sold price per unit (SAR),Total sold price (SAR),Sold unit profit (SAR),Sold margin (%),Absolute price difference (Sold-Predicted),Percentage price difference (sold/predicted),suggested_price,percentage_difference,Luisa_Javier_Prediction_Note
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-00101,S00916,WAYAKIT GreenTech Facilities Management General purpose cleaner [4 L],General purpose cleaner,Facilities management,Facilities management,4.0, SAR 15.16 , SAR 52.00 , SAR 0.013 ,Price based on direct competition - Price viable with 243.0% profit margin,1,3.0,57.2, SAR 171.59 , SAR 42.04 ,73%, SAR 14.30 , 12.0 , SAR 126.11 , SAR 5.20 ,10%,Well prediction,Yes,Yes,24/07/2025,3.0, SAR 57.20 , SAR 171.59 , SAR 42.04 ,73%, SAR 5.20 ,10%,54.45,0.050505050505050504,Well prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-00401,S00916,WAYAKIT GreenTech Facilities Management Hard floor polish [4 L],Floor polish,Facilities management,Facilities management,4.0, SAR 54.29 , SAR 328.04 , SAR 0.082 ,"Price based on median generic product type - B2B: 0.0820 SAR/ml = 328.04 SAR, B2C: 0.1152 SAR/ml = 460.72 SAR. Price viable with 504.2% profit margin",3,1.0,80.38, SAR 80.38 , SAR 26.09 ,32%, SAR 20.10 , 4.0 , SAR 26.09 , SAR (247.66),-75%,Wrong prediction,Yes,Yes,24/07/2025,1.0, SAR 80.38 , SAR 80.38 , SAR 26.09 ,32%, SAR (247.66),-75%,100.01,-0.19628037196280382,Wrong prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-00301,S00916,WAYAKIT GreenTech Facilities Management General hard floor cleaner  [4 L],Floor cleaner,Facilities management,Facilities management,4.0, SAR 15.16 , SAR 56.32 , SAR 0.014 ,Price based on direct competition - Price viable with 271.5% profit margin,1,7.0,62.34, SAR 436.35 , SAR 47.18 ,76%, SAR 15.58 , 28.0 , SAR 330.23 , SAR 6.01 ,11%,Well prediction,Yes,Yes,24/07/2025,7.0, SAR 62.34 , SAR 436.35 , SAR 47.18 ,76%, SAR 6.01 ,11%,61.55,0.012835093419983856,Well prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-00701,S00916,WAYAKIT GreenTech Facilities Management Stain spot remover [4 L],Stain remover,Facilities management,Facilities management,4.0, SAR 58.48 , SAR 248.40 , SAR 0.062 ,"Price based on median generic product type - B2B: 0.0621 SAR/ml = 248.40 SAR, B2C: 0.0854 SAR/ml = 341.67 SAR. Price viable with 324.8% profit margin",3,1.0,50.69, SAR 50.69 , SAR (7.79),-15%, SAR 12.67 , 4.0 , SAR (7.79), SAR (197.71),-80%,Wrong prediction,Yes,Yes,24/07/2025,1.0, SAR 50.69 , SAR 50.69 , SAR (7.79),-15%, SAR (197.71),-80%,77.43,-0.34534418184166354,Wrong prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-00801,S00916,WAYAKIT GreenTech Facilities Management Marble floor cleaner [4 L],Marble floor cleaner,Facilities management,Facilities management,4.0, SAR 13.97 , SAR 372.04 , SAR 0.093 ,Price based on median generic product type - B2C: 0.0930 SAR/ml = 372.04 SAR. Price viable with 2563.2% profit margin,3,6.0,90.22, SAR 541.31 , SAR 76.25 ,85%, SAR 22.55 , 24.0 , SAR 457.49 , SAR (281.83),-76%,Wrong prediction,Yes,Yes,24/07/2025,6.0, SAR 90.22 , SAR 541.31 , SAR 76.25 ,85%, SAR (281.83),-76%,90.86,-0.007043803653973152,Well prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-01001,S00916,WAYAKIT GreenTech Facilities Management Broad-spectrum disinfectant for surfaces and touchpoints [4 L],Disinfectant and cleaner,Facilities management,Facilities management,4.0, SAR 15.16 , SAR 55.20 , SAR 0.014 ,Price based on direct competition - Price viable with 264.1% profit margin,1,6.0,77.66, SAR 465.98 , SAR 62.50 ,80%, SAR 19.42 , 24.0 , SAR 375.02 , SAR 22.46 ,41%,Well prediction,Yes,Yes,24/07/2025,6.0, SAR 77.66 , SAR 465.98 , SAR 62.50 ,80%, SAR 22.46 ,41%,57.42,0.3524904214559386,Well prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-01100,S00916,WAYAKIT GreenTech Facilities Management Surface sanitizing rags [Pack of 20 wet rags],Cleaning wet wipes,Facilities management,Facilities management,0.0, SAR 9.01 , SAR 11.71 , SAR -   ,Price based on median generic product type - B2C: 0.1977 SAR/ml = 3.95 SAR. Low predicted price. Using minimum viable price with 30% profit margin.,3,2.0,27.59, SAR 55.17 , SAR 18.58 ,67%, SAR -   , -   , SAR 37.15 , SAR 15.87 ,136%,Wrong prediction,Yes,Yes,24/07/2025,2.0, SAR 27.59 , SAR 55.17 , SAR 18.58 ,67%, SAR 15.87 ,136%,63.38,-0.5646891763963396,Wrong prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-01201,S00916,WAYAKIT GreenTech Facilities Management Heavy-duty toilet and urinal cleaner [4 L],"Toilet, shower and tile cleaner",Facilities management,Facilities management,4.0, SAR 23.08 , SAR 65.54 , SAR 0.016 ,Price based on direct competition - Price viable with 184.0% profit margin,1,9.0,95.4, SAR 858.60 , SAR 72.32 ,76%, SAR 23.85 , 36.0 , SAR 650.88 , SAR 29.86 ,46%,Well prediction,Yes,Yes,24/07/2025,9.0, SAR 95.40 , SAR 858.60 , SAR 72.32 ,76%, SAR 29.86 ,46%,249.13,-0.6170673945329748,Wrong prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-01401,S00916,WAYAKIT GreenTech Facilities Management Restroom air freshener [4 L],Air freshener,Facilities management,Facilities management,4.0, SAR 19.60 , SAR 146.67 , SAR 0.037 ,"Price based on median generic product type - B2B: 0.0367 SAR/ml = 146.67 SAR, B2C: 0.0983 SAR/ml = 393.04 SAR. Price viable with 648.3% profit margin",3,4.0,87.96, SAR 351.84 , SAR 68.36 ,78%, SAR 21.99 , 16.0 , SAR 273.44 , SAR (58.71),-40%,Wrong prediction,Yes,Yes,24/07/2025,4.0, SAR 87.96 , SAR 351.84 , SAR 68.36 ,78%, SAR (58.71),-40%,88.14,-0.0020422055820286684,Well prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-02101,S00916,WAYAKIT GreenTech Facilities Management Air freshener [4 L],Air freshener,Facilities management,Facilities management,4.0, SAR 19.60 , SAR 146.67 , SAR 0.037 ,Price based on direct competition - Price viable with 648.3% profit margin,1,4.0,71.64, SAR 286.56 , SAR 52.04 ,73%, SAR 17.91 , 16.0 , SAR 208.16 , SAR (75.03),-51%,Wrong prediction,Yes,Yes,24/07/2025,4.0, SAR 71.64 , SAR 286.56 , SAR 52.04 ,73%, SAR (75.03),-51%,214.95,-0.6667131891137474,Wrong prediction
15/03/2025,Saqifat Alsafa,B2B,FP-FMN-02301,S00916,WAYAKIT GreenTech Facilities Management Stainless steel polish and cleaner for fixtures and fittings [4 L],Stainless steel cleaner,Facilities management,Facilities management,4.0, SAR 15.14 , SAR 125.51 , SAR 0.031 ,Price based on direct competition - Price viable with 728.9% profit margin,1,2.0,84.22, SAR 168.45 , SAR 69.08 ,82%, SAR 21.06 , 8.0 , SAR 138.16 , SAR (41.29),-33%,Wrong prediction,Yes,Yes,24/07/2025,2.0, SAR 84.22 , SAR 168.45 , SAR 69.08 ,82%, SAR (41.29),-33%,83.57,0.007777910733516881,Well prediction
