date,industry,subindustry,type_of_product,generic_product_type,product,price_sar,company,source,url,unit_of_measurement,total_quantity,price_per_item
9/15/2025,Home,Home,H8-Disinfectant wipes,Cleaning wet wipes,"Clorox Disinfecting Wipes, 35 Wet Wipes, Crisp Lemon, Cleans 3x Better, Kills 99.9% of Viruses and Bacteria",21.45,Clorox,amazon,https://www.amazon.sa/-/en/Clorox-Disinfecting-Cleans-Viruses-Bacteria/dp/B074NBQBXH/ref=sr_1_1?dib=eyJ2IjoiMSJ9.HGJHomU0lko92bLRaMrdsyOaq8hE4GwxKBjw2cZRiA6bCrQcDzD6EnNma8ir1-MzIsZKRvkM_xGB2pnPhtl7jgBXDfK7Ako5J_7I2F2jK0pcEJKmel4B9MUU1s0owpzxojf_iWz_EW3aDMqHF2P1tTGugqyvtnnHmc1-oD8zBjDkZNqDzTaSmNPJYKGN8AdGvzV-hgGkN5b9xWuZfL_buuM4hrO0xJi6bzB0jGPg48y_qNeTITqhibTRXsRz9RfFqHbxWe9GsuIWCUWFDKmIs4b0UtJFUkOB4VwIkg-vPQU.8CjxPHCWUuHgGL2xtGhdNOgN0VMtlmQ3vYLugvPsJDs&dib_tag=se&keywords=disinfectant+wipes&qid=1757968934&sr=8-1,units,35.0,0.6128571428571429
9/15/2025,Home,Home,H8-Disinfectant wipes,Cleaning wet wipes,"Clorox Disinfecting Wipes, 35 Wet Wipes, Fresh Scent, Cleans 3x Better, Kills 99.9% of Viruses and Bacteria",26.95,Clorox,amazon,https://www.amazon.sa/-/en/Clorox-Disinfecting-Cleans-Viruses-Bacteria/dp/B004EHZ8R0/ref=sr_1_2?dib=eyJ2IjoiMSJ9.HGJHomU0lko92bLRaMrdsyOaq8hE4GwxKBjw2cZRiA6bCrQcDzD6EnNma8ir1-MzIsZKRvkM_xGB2pnPhtl7jgBXDfK7Ako5J_7I2F2jK0pcEJKmel4B9MUU1s0owpzxojf_iWz_EW3aDMqHF2P1tTGugqyvtnnHmc1-oD8zBjDkZNqDzTaSmNPJYKGN8AdGvzV-hgGkN5b9xWuZfL_buuM4hrO0xJi6bzB0jGPg48y_qNeTITqhibTRXsRz9RfFqHbxWe9GsuIWCUWFDKmIs4b0UtJFUkOB4VwIkg-vPQU.8CjxPHCWUuHgGL2xtGhdNOgN0VMtlmQ3vYLugvPsJDs&dib_tag=se&keywords=disinfectant+wipes&qid=1757968934&sr=8-2,units,35.0,0.77
9/15/2025,Home,Home,H8-Disinfectant wipes,Cleaning wet wipes,"Zoflora Midnight Blooms Biodegradable Surface Wipes, Antibacterial Plant-Based Cleaner, Cuts Through Grease and Grime, Kills 99.9 Percent of Bacteria and Viruses, 96 Wipes",26.38,Zoflora,amazon,https://www.amazon.sa/-/en/Zoflora-Midnight-Biodegradable-Antibacterial-Plant-Based/dp/B0CX276K6Y/ref=sr_1_4?dib=eyJ2IjoiMSJ9.HGJHomU0lko92bLRaMrdsyOaq8hE4GwxKBjw2cZRiA6bCrQcDzD6EnNma8ir1-MzIsZKRvkM_xGB2pnPhtl7jgBXDfK7Ako5J_7I2F2jK0pcEJKmel4B9MUU1s0owpzxojf_iWz_EW3aDMqHF2P1tTGugqyvtnnHmc1-oD8zBjDkZNqDzTaSmNPJYKGN8AdGvzV-hgGkN5b9xWuZfL_buuM4hrO0xJi6bzB0jGPg48y_qNeTITqhibTRXsRz9RfFqHbxWe9GsuIWCUWFDKmIs4b0UtJFUkOB4VwIkg-vPQU.8CjxPHCWUuHgGL2xtGhdNOgN0VMtlmQ3vYLugvPsJDs&dib_tag=se&keywords=disinfectant+wipes&qid=1757968934&sr=8-4,units,96.0,0.27479166666666666
9/15/2025,Home,Home,H8-Disinfectant wipes,Cleaning wet wipes,Dettol Original Antibacterial Skin and Surface Wipes 40 Count,32.55,Dettol,amazon,https://www.amazon.sa/-/en/Dettol-Original-Antibacterial-Surface-Wipes/dp/B01127JS2U/ref=sr_1_5?dib=eyJ2IjoiMSJ9.HGJHomU0lko92bLRaMrdsyOaq8hE4GwxKBjw2cZRiA6bCrQcDzD6EnNma8ir1-MzIsZKRvkM_xGB2pnPhtl7jgBXDfK7Ako5J_7I2F2jK0pcEJKmel4B9MUU1s0owpzxojf_iWz_EW3aDMqHF2P1tTGugqyvtnnHmc1-oD8zBjDkZNqDzTaSmNPJYKGN8AdGvzV-hgGkN5b9xWuZfL_buuM4hrO0xJi6bzB0jGPg48y_qNeTITqhibTRXsRz9RfFqHbxWe9GsuIWCUWFDKmIs4b0UtJFUkOB4VwIkg-vPQU.8CjxPHCWUuHgGL2xtGhdNOgN0VMtlmQ3vYLugvPsJDs&dib_tag=se&keywords=disinfectant+wipes&qid=1757968934&sr=8-5,units,40.0,0.81375
9/15/2025,Home,Home,H8-Disinfectant wipes,Cleaning wet wipes,"HiPO Cleaner and Disinfectant Multipurpose Surface 300-Wet Wipes, 15 cm x 20 cm Size, Green",95.95,HiPO,amazon,https://www.amazon.sa/-/en/HiPO-Cleaner-Disinfectant-Multipurpose-Surface/dp/B0CWGW76L4/ref=sr_1_9?dib=eyJ2IjoiMSJ9.HGJHomU0lko92bLRaMrdsyOaq8hE4GwxKBjw2cZRiA6bCrQcDzD6EnNma8ir1-MzIsZKRvkM_xGB2pnPhtl7jgBXDfK7Ako5J_7I2F2jK0pcEJKmel4B9MUU1s0owpzxojf_iWz_EW3aDMqHF2P1tTGugqyvtnnHmc1-oD8zBjDkZNqDzTaSmNPJYKGN8AdGvzV-hgGkN5b9xWuZfL_buuM4hrO0xJi6bzB0jGPg48y_qNeTITqhibTRXsRz9RfFqHbxWe9GsuIWCUWFDKmIs4b0UtJFUkOB4VwIkg-vPQU.8CjxPHCWUuHgGL2xtGhdNOgN0VMtlmQ3vYLugvPsJDs&dib_tag=se&keywords=disinfectant+wipes&qid=1757968934&sr=8-9,units,300.0,0.31983333333333336
9/15/2025,Home,Home,H8-Disinfectant wipes,Cleaning wet wipes,"Dettol Original 2 in 1 Antibacterial Skin and Surface Wipes for 100% Better Germ Protection, Pack of 120 Wipes",83.99,Dettol,amazon,https://www.amazon.sa/-/en/Dettol-Original-Antibacterial-Surface-Protection/dp/B07N8VZS5Y/ref=sr_1_11?dib=eyJ2IjoiMSJ9.HGJHomU0lko92bLRaMrdsyOaq8hE4GwxKBjw2cZRiA6bCrQcDzD6EnNma8ir1-MzIsZKRvkM_xGB2pnPhtl7jgBXDfK7Ako5J_7I2F2jK0pcEJKmel4B9MUU1s0owpzxojf_iWz_EW3aDMqHF2P1tTGugqyvtnnHmc1-oD8zBjDkZNqDzTaSmNPJYKGN8AdGvzV-hgGkN5b9xWuZfL_buuM4hrO0xJi6bzB0jGPg48y_qNeTITqhibTRXsRz9RfFqHbxWe9GsuIWCUWFDKmIs4b0UtJFUkOB4VwIkg-vPQU.8CjxPHCWUuHgGL2xtGhdNOgN0VMtlmQ3vYLugvPsJDs&dib_tag=se&keywords=disinfectant+wipes&qid=1757968934&sr=8-11,units,120.0,0.6999166666666666
9/15/2025,Home,Home,H8-Disinfectant wipes,Cleaning wet wipes,"HiPO Cleaner and Disinfect Multi-Surface 50-Wet Wipes, 15 cm x 20 cm Size, Green",38.95,HiPO,amazon,https://www.amazon.sa/-/en/HiPO-Cleaner-Disinfect-Multi-Surface-50-Wet/dp/B0CWGWF79R/ref=sr_1_12?dib=eyJ2IjoiMSJ9.HGJHomU0lko92bLRaMrdsyOaq8hE4GwxKBjw2cZRiA6bCrQcDzD6EnNma8ir1-MzIsZKRvkM_xGB2pnPhtl7jgBXDfK7Ako5J_7I2F2jK0pcEJKmel4B9MUU1s0owpzxojf_iWz_EW3aDMqHF2P1tTGugqyvtnnHmc1-oD8zBjDkZNqDzTaSmNPJYKGN8AdGvzV-hgGkN5b9xWuZfL_buuM4hrO0xJi6bzB0jGPg48y_qNeTITqhibTRXsRz9RfFqHbxWe9GsuIWCUWFDKmIs4b0UtJFUkOB4VwIkg-vPQU.8CjxPHCWUuHgGL2xtGhdNOgN0VMtlmQ3vYLugvPsJDs&dib_tag=se&keywords=disinfectant+wipes&qid=1757968934&sr=8-12,units,50.0,0.779
9/15/2025,Home,Home,H8-Disinfectant wipes,Cleaning wet wipes,"Medical Alcohol Swabs, Sterile Disinfectant Wipes,Alcohol Prep Pad, First Aid Kit Supplies,100 Pieces",11.7,Generic,amazon,https://www.amazon.sa/-/en/Medical-Alcohol-Sterile-Disinfectant-Supplies/dp/B0FFGTSC1L/ref=sr_1_14?dib=eyJ2IjoiMSJ9.HGJHomU0lko92bLRaMrdsyOaq8hE4GwxKBjw2cZRiA6bCrQcDzD6EnNma8ir1-MzIsZKRvkM_xGB2pnPhtl7jgBXDfK7Ako5J_7I2F2jK0pcEJKmel4B9MUU1s0owpzxojf_iWz_EW3aDMqHF2P1tTGugqyvtnnHmc1-oD8zBjDkZNqDzTaSmNPJYKGN8AdGvzV-hgGkN5b9xWuZfL_buuM4hrO0xJi6bzB0jGPg48y_qNeTITqhibTRXsRz9RfFqHbxWe9GsuIWCUWFDKmIs4b0UtJFUkOB4VwIkg-vPQU.8CjxPHCWUuHgGL2xtGhdNOgN0VMtlmQ3vYLugvPsJDs&dib_tag=se&keywords=disinfectant+wipes&qid=1757968934&sr=8-14,units,100.0,0.11699999999999999
9/15/2025,Home,Home,H8-Disinfectant wipes,Cleaning wet wipes,"Lysol Disinfecting Wipes, Lemon & Lime Blossom, (80 count pack of 2)",99.0,Lysol,amazon,https://www.amazon.sa/-/en/Lysol-Disinfecting-Wipes-Lemon-Blossom/dp/B004HT39T4/ref=sr_1_15?dib=eyJ2IjoiMSJ9.HGJHomU0lko92bLRaMrdsyOaq8hE4GwxKBjw2cZRiA6bCrQcDzD6EnNma8ir1-MzIsZKRvkM_xGB2pnPhtl7jgBXDfK7Ako5J_7I2F2jK0pcEJKmel4B9MUU1s0owpzxojf_iWz_EW3aDMqHF2P1tTGugqyvtnnHmc1-oD8zBjDkZNqDzTaSmNPJYKGN8AdGvzV-hgGkN5b9xWuZfL_buuM4hrO0xJi6bzB0jGPg48y_qNeTITqhibTRXsRz9RfFqHbxWe9GsuIWCUWFDKmIs4b0UtJFUkOB4VwIkg-vPQU.8CjxPHCWUuHgGL2xtGhdNOgN0VMtlmQ3vYLugvPsJDs&dib_tag=se&keywords=disinfectant+wipes&qid=1757968934&sr=8-15,units,160.0,0.61875
9/15/2025,Home,Home,H8-Disinfectant wipes,Cleaning wet wipes,"Medical Alcohol Swabs, Sterile Disinfectant Wipes,Alcohol Prep Pad, First Aid Kit Supplies, 200 Pieces",15.9,Generic,amazon,https://www.amazon.sa/-/en/Medical-Alcohol-Sterile-Disinfectant-Supplies/dp/B0FBTJS62R/ref=sr_1_16?dib=eyJ2IjoiMSJ9.HGJHomU0lko92bLRaMrdsyOaq8hE4GwxKBjw2cZRiA6bCrQcDzD6EnNma8ir1-MzIsZKRvkM_xGB2pnPhtl7jgBXDfK7Ako5J_7I2F2jK0pcEJKmel4B9MUU1s0owpzxojf_iWz_EW3aDMqHF2P1tTGugqyvtnnHmc1-oD8zBjDkZNqDzTaSmNPJYKGN8AdGvzV-hgGkN5b9xWuZfL_buuM4hrO0xJi6bzB0jGPg48y_qNeTITqhibTRXsRz9RfFqHbxWe9GsuIWCUWFDKmIs4b0UtJFUkOB4VwIkg-vPQU.8CjxPHCWUuHgGL2xtGhdNOgN0VMtlmQ3vYLugvPsJDs&dib_tag=se&keywords=disinfectant+wipes&qid=1757968934&sr=8-16,units,200.0,0.0795
