date,industry,subindustry,type_of_product,generic_product_type,product,price_sar,company,source,url,unit_of_measurement,total_quantity,volume_liters,price_per_liter
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Clorox Scentiva Spray, Multi-Surface Cleaner 500ml, Japanese Spring Flowers, No Bleach, Kills 99.9% of Viruses & Bacteria",18.45,Clorox,amazon,https://www.amazon.sa/-/en/Clorox-Scentiva-Multi-Surface-Japanese-Bacteria/dp/B09FKCQQR4/ref=sr_1_6?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-6,ml,500.0,0.5,36.9
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Clorox Multi-Purpose Cleaner Spray with Bleach, 750ml, Kills 99.9% of Germs, 10X Stronger in Stain Removal",20.95,Clorox,amazon,https://www.amazon.sa/-/en/Clorox-Multi-Purpose-Cleaner-Stronger-Removal/dp/B07P8B1FV4/ref=sr_1_7?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-7,ml,750.0,0.75,27.933333333333334
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Dettol Lemon Healthy Home All Purpose Cleaner Trigger 500ml, Packaging may vary",18.99,Dettol,amazon,https://www.amazon.sa/-/en/Dettol-Healthy-Purpose-Cleaner-Packaging/dp/B07MTL9D6V/ref=sr_1_8?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-8,ml,500.0,0.5,37.98
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,Mr. Muscle All Purpose Surface Cleaner Spray - Advanced Grime-Fighting Formula - Extra-Strength Kills 99.9% of Household Germs & Eliminates Soap Scum - Citrus Lime Scent - 500ml,15.95,Mr Muscle,amazon,https://www.amazon.sa/-/en/Muscle-Purpose-Surface-Cleaner-Spray/dp/B07Q1NSKW3/ref=sr_1_9?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-9,ml,500.0,0.5,31.9
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,Clorox 409 All Purpose Cleaner Spray 750 ml,18.0,Clorox,amazon,https://www.amazon.sa/-/en/Clorox-409-Purpose-Cleaner-Spray/dp/B0C7WRWGKR/ref=sr_1_10?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-10,ml,750.0,0.75,24.0
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Zoflora Multipurpose Cleaner, Linen Fresh 800ml, Kitchen and Bathroom Cleaner Disinfectant Spray, Surface and Floor Cleaner, Antibacterial, Eliminates Unpleasant Odours",24.75,Zoflora,amazon,https://www.amazon.sa/-/en/Zoflora-Multipurpose-Disinfectant-Antibacterial-Eliminates/dp/B0CWLK8GZV/ref=sr_1_12?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-12,ml,800.0,0.8,30.9375
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,Dettol Surface Cleanser Spray 500 ml,13.95,Dettol,amazon,https://www.amazon.sa/-/en/Dettol-Surface-Cleanser-Spray-500/dp/B000NJSXBQ/ref=sr_1_13?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-13,ml,500.0,0.5,27.9
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,"Clorox Scentiva Spray, Multi Surface Cleaner 500ml, Madagascar Citrus Orchard, No Bleach, Kills 99.9% of Viruses & Bacteria",18.45,Clorox,amazon,https://www.amazon.sa/-/en/Clorox-Scentiva-Surface-Madagascar-Bacteria/dp/B09FKCYRJ6/ref=sr_1_14?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-14,ml,500.0,0.5,36.9
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,Mrs Meyer's 16OZ Lemon All Purpose Cleaner,50.0,Mrs. MEYER'S,amazon,https://www.amazon.sa/-/en/Meyers-16OZ-Lemon-Purpose-Cleaner/dp/B000S5VEA2/ref=sr_1_15?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-15,fl oz,16.0,16.0,3.125
9/14/2025,Home,Home,H1-All purpose cleaner,General purpose cleaner,Stardrops The Pink stuff Miracle Multi-Purpose Cleaner Spray- 25.36 Fl Oz,31.0,Stardrops,amazon,https://www.amazon.sa/-/en/Stardrops-Miracle-Multi-Purpose-Cleaner-Spray/dp/B07T9C5CQR/ref=sr_1_16?dib=eyJ2IjoiMSJ9.YTNLewEmxqtVumFxY0GHY3scF3ZAOJAGp9K5TgyEDgXxXoAciLZSR1o6_MQyPjJjQEJF53tl9tvEFypFd5MXEX26LEqqQKdjv7Pw8VaIdKJvMUj1aumT7nx6-6GUr6cPcWcFA8gKPKpJjd7s7BKLT_O8oTtnIBGeemLSAuepqaU5JNtLrYu4hw2lcXAoAgxqu5uk9_T2sQBvge7H62CgTBU4yhAmIk4d5CparhvRXG1CXijjhAhfg7j7SMmw-hzr-_GR9LXZ6mCuI7G_BvG7DxNbJ20kYzWRZUGgG0I4gEA.g3OH1ZQHrQ2P8sWIzNpQsCzBjNdsKLkRr5Y_x3kY8Ls&dib_tag=se&keywords=all+purpose+cleaner&qid=1757858741&sr=8-16,fl oz,25.36,25.36,1.222397476340694
