type_of_product,generic_product_type,sub_industry,industry,price_per_unit_sar,total_quantity,unit_of_measurement_mlgunits,channel
A1-Cabin surface cleaner,General purpose cleaner,Aviation,Transportation,16.0,500.0,mL,B2B
A11-Aircraft corrosion inhitor compound removal solvent,Corrosion inhitor compound remover,Aviation,Transportation,13125.0,200000.0,mL,B2B
C1-Car wash shampoo,Vehicle wet wash shampoo,Automotive,Transportation,121.0,1000.0,mL,E-commerce
C1-Car wash shampoo,Vehicle wet wash shampoo,Automotive,Transportation,45.0,1000.0,mL,Retail
C1-Waterless car wash product,Vehicle dry wash exterior cleaner,Automotive,Transportation,55.75,3790.0,mL,Retail
C1-Waterless car wash product,Vehicle dry wash exterior cleaner,Automotive,Transportation,65.75,3790.0,mL,Retail
C1-Car wash shampoo,Vehicle wet wash shampoo,Automotive,Transportation,68.0,2950.0,mL,Retail
C1-Car wash shampoo,Vehicle wet wash shampoo,Automotive,Transportation,66.0,2000.0,mL,Retail
C1-Car wash shampoo,Vehicle wet wash shampoo,Automotive,Transportation,60.0,1890.0,mL,Retail
C1-Car wash shampoo,Vehicle wet wash shampoo,Automotive,Transportation,80.0,1890.0,mL,Retail
C1-Car wash shampoo,Vehicle wet wash shampoo,Automotive,Transportation,55.0,1890.0,mL,Retail
C1-Car wash shampoo,Vehicle wet wash shampoo,Automotive,Transportation,55.0,1890.0,mL,Retail
C1-Car wash shampoo,Vehicle wet wash shampoo,Automotive,Transportation,55.0,1890.0,mL,Retail
C1-Waterless car wash product,Vehicle dry wash exterior cleaner,Automotive,Transportation,80.0,1900.0,mL,Retail
C1-Waterless car wash product,Vehicle dry wash exterior cleaner,Automotive,Transportation,40.0,1890.0,mL,Retail
C4-Car upholstery cleaner,Upholstery cleaner,Automotive,Transportation,79.0,473.0,mL,E-commerce
C5-Car bug and poop remover,Bug remover,Automotive,Transportation,60.0,443.0,mL,E-commerce
C2-Wheel cleaner,Degreaser,Automotive,Transportation,92.0,1000.0,mL,Retail
C2-Tire foam,Degreaser,Automotive,Transportation,25.0,650.0,mL,Retail
C2-Tire foam,Degreaser,Automotive,Transportation,58.0,280.0,mL,E-commerce
C2-Tire foam,Degreaser,Automotive,Transportation,32.0,500.0,mL,E-commerce
C2-Tire foam,Degreaser,Automotive,Transportation,40.0,500.0,mL,E-commerce
C2-Tire foam,Degreaser,Automotive,Transportation,146.0,680.0,mL,E-commerce
C2-Tire foam,Degreaser,Automotive,Transportation,49.0,623.0,mL,E-commerce
