Product_Name,Type_of_product,Suggested_Price_SAR,Prediction_Details
WAYAKIT GreenTech Faith general purpose cleaner [700 mL],I1-General purpose cleaner,12.81,Predicción Volumétrica (18.30 SAR/L)
WAYAKIT GreenTech Faith general purpose cleaner [4 L],I1-General purpose cleaner,43.85,Predicción Volumétrica (10.96 SAR/L)
WAYAKIT GreenTech Faith general purpose cleaner [20 L],I1-General purpose cleaner,323.03,Predicción Volumétrica (16.15 SAR/L)
WAYAKIT GreenTech Faith general purpose cleaner [Box of 12 units 700 mL],I1-General purpose cleaner,76.48,Predicción Volumétrica (9.10 SAR/L)
WAYAKIT GreenTech Faith wood furniture cleaner [700 mL],I1-Wood furniture cleaner,12.81,Predicción Volumétrica (18.30 SAR/L)
WAYAKIT GreenTech Faith wood furniture cleaner [4 L],I1-Wood furniture cleaner,43.85,Predicción Volumétrica (10.96 SAR/L)
WAYAKIT GreenTech Faith wood furniture cleaner [20 L],I1-Wood furniture cleaner,323.03,Predicción Volumétrica (16.15 SAR/L)
WAYAKIT GreenTech Faith wood furniture cleaner [Box of 12 units 700 mL],I1-Wood furniture cleaner,76.48,Predicción Volumétrica (9.10 SAR/L)
WAYAKIT GreenTech Faith general hard floor cleaner [700 mL],I2-General hard floor cleaner,12.81,Predicción Volumétrica (18.30 SAR/L)
WAYAKIT GreenTech Faith general hard floor cleaner [4 L],I2-General hard floor cleaner,61.16,Predicción Volumétrica (15.29 SAR/L)
WAYAKIT GreenTech Faith general hard floor cleaner [20 L],I2-General hard floor cleaner,323.03,Predicción Volumétrica (16.15 SAR/L)
WAYAKIT GreenTech Faith general hard floor cleaner [Box of 12 units 700 mL],I2-General hard floor cleaner,76.48,Predicción Volumétrica (9.10 SAR/L)
WAYAKIT GreenTech Faith hardwood and laminate floor cleaner [700 mL],I2-Hardwood and laminate floor cleaner,12.81,Predicción Volumétrica (18.30 SAR/L)
WAYAKIT GreenTech Faith hardwood and laminate floor cleaner [4 L],I2-Hardwood and laminate floor cleaner,43.85,Predicción Volumétrica (10.96 SAR/L)
WAYAKIT GreenTech Faith hardwood and laminate floor cleaner [20 L],I2-Hardwood and laminate floor cleaner,323.03,Predicción Volumétrica (16.15 SAR/L)
WAYAKIT GreenTech Faith hardwood and laminate floor cleaner [Box of 12 units 700 mL],I2-Hardwood and laminate floor cleaner,76.48,Predicción Volumétrica (9.10 SAR/L)
WAYAKIT GreenTech Faith high performance carpet shampoo [700 mL],I3-High performance carpet shampoo,12.81,Predicción Volumétrica (18.30 SAR/L)
WAYAKIT GreenTech Faith high performance carpet shampoo [4 L],I3-High performance carpet shampoo,43.85,Predicción Volumétrica (10.96 SAR/L)
WAYAKIT GreenTech Faith high performance carpet shampoo [20 L],I3-High performance carpet shampoo,323.03,Predicción Volumétrica (16.15 SAR/L)
WAYAKIT GreenTech Faith high performance carpet shampoo [Box of 12 units 700 mL],I3-High performance carpet shampoo,76.48,Predicción Volumétrica (9.10 SAR/L)
WAYAKIT GreenTech Faith stain spot remover [700 mL],I3-Stain spot remover,12.81,Predicción Volumétrica (18.30 SAR/L)
WAYAKIT GreenTech Faith stain spot remover [4 L],I3-Stain spot remover,43.85,Predicción Volumétrica (10.96 SAR/L)
WAYAKIT GreenTech Faith stain spot remover [20 L],I3-Stain spot remover,323.03,Predicción Volumétrica (16.15 SAR/L)
WAYAKIT GreenTech Faith stain spot remover [Box of 12 units 700 mL],I3-Stain spot remover,76.48,Predicción Volumétrica (9.10 SAR/L)
WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [700 mL],"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",12.81,Predicción Volumétrica (18.30 SAR/L)
WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [4 L],"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",35.75,Predicción Volumétrica (8.94 SAR/L)
WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [20 L],"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",288.09,Predicción Volumétrica (14.40 SAR/L)
WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [Pack of 20 wet rags],"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",60.09,Predicción por Unidades (3.00 SAR/item)
WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [Box of 12 units 700 mL],"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",76.48,Predicción Volumétrica (9.10 SAR/L)
WAYAKIT GreenTech Faith air freshener [700 mL],I6-Restroom air freshener,12.81,Predicción Volumétrica (18.30 SAR/L)
WAYAKIT GreenTech Faith air freshener [4 L],I6-Restroom air freshener,43.85,Predicción Volumétrica (10.96 SAR/L)
WAYAKIT GreenTech Faith air freshener [20 L],I6-Restroom air freshener,323.03,Predicción Volumétrica (16.15 SAR/L)
WAYAKIT GreenTech Faith air freshener [Box of 12 units 700 mL],I6-Restroom air freshener,76.48,Predicción Volumétrica (9.10 SAR/L)
WAYAKIT GreenTech Faith shower and tile cleaner [700 mL],I6-Shower and tile cleaner,12.81,Predicción Volumétrica (18.30 SAR/L)
WAYAKIT GreenTech Faith shower and tile cleaner [4 L],I6-Shower and tile cleaner,43.85,Predicción Volumétrica (10.96 SAR/L)
WAYAKIT GreenTech Faith shower and tile cleaner [20 L],I6-Shower and tile cleaner,323.03,Predicción Volumétrica (16.15 SAR/L)
WAYAKIT GreenTech Faith shower and tile cleaner [Box of 12 units 700 mL],I6-Shower and tile cleaner,76.48,Predicción Volumétrica (9.10 SAR/L)
WAYAKIT GreenTech Faithstreak-free glass cleaner for large window areas [700 mL],I7-Streak-free glass cleaner for large window areas,12.81,Predicción Volumétrica (18.30 SAR/L)
WAYAKIT GreenTech Faithstreak-free glass cleaner for large window areas [4 L],I7-Streak-free glass cleaner for large window areas,43.85,Predicción Volumétrica (10.96 SAR/L)
WAYAKIT GreenTech Faithstreak-free glass cleaner for large window areas [20 L],I7-Streak-free glass cleaner for large window areas,323.03,Predicción Volumétrica (16.15 SAR/L)
