Product_ID,Product_Name,Type_of_product,Suggested_Price_SAR,Prediction_Details
FP-FAI-00100,WAYAKIT GreenTech Faith general purpose cleaner [700 mL],I1-General purpose cleaner,13.31,Predicción Volumétrica (19.01 SAR/L)
FP-FAI-00101,WAYAKIT GreenTech Faith general purpose cleaner [4 L],I1-General purpose cleaner,46.05,Predicción Volumétrica (11.51 SAR/L)
FP-FAI-00102,WAYAKIT GreenTech Faith general purpose cleaner [20 L],I1-General purpose cleaner,288.85,Predicción Volumétrica (14.44 SAR/L)
FP-FAI-00103,WAYAKIT GreenTech Faith general purpose cleaner [Box of 12 units 700 mL],I1-General purpose cleaner,87.73,Predicción Volumétrica (10.44 SAR/L)
FP-FAI-00200,WAYAKIT GreenTech Faith wood furniture cleaner [700 mL],I1-Wood furniture cleaner,13.31,Predicción Volumétrica (19.01 SAR/L)
FP-FAI-00201,WAYAKIT GreenTech Faith wood furniture cleaner [4 L],I1-Wood furniture cleaner,46.05,Predicción Volumétrica (11.51 SAR/L)
FP-FAI-00202,WAYAKIT GreenTech Faith wood furniture cleaner [20 L],I1-Wood furniture cleaner,288.85,Predicción Volumétrica (14.44 SAR/L)
FP-FAI-00203,WAYAKIT GreenTech Faith wood furniture cleaner [Box of 12 units 700 mL],I1-Wood furniture cleaner,87.73,Predicción Volumétrica (10.44 SAR/L)
FP-FAI-00300,WAYAKIT GreenTech Faith general hard floor cleaner [700 mL],I2-General hard floor cleaner,13.31,Predicción Volumétrica (19.01 SAR/L)
FP-FAI-00301,WAYAKIT GreenTech Faith general hard floor cleaner [4 L],I2-General hard floor cleaner,64.27,Predicción Volumétrica (16.07 SAR/L)
FP-FAI-00302,WAYAKIT GreenTech Faith general hard floor cleaner [20 L],I2-General hard floor cleaner,288.85,Predicción Volumétrica (14.44 SAR/L)
FP-FAI-00303,WAYAKIT GreenTech Faith general hard floor cleaner [Box of 12 units 700 mL],I2-General hard floor cleaner,89.31,Predicción Volumétrica (10.63 SAR/L)
FP-FAI-00600,WAYAKIT GreenTech Faith hardwood and laminate floor cleaner [700 mL],I2-Hardwood and laminate floor cleaner,13.31,Predicción Volumétrica (19.01 SAR/L)
FP-FAI-00601,WAYAKIT GreenTech Faith hardwood and laminate floor cleaner [4 L],I2-Hardwood and laminate floor cleaner,46.05,Predicción Volumétrica (11.51 SAR/L)
FP-FAI-00602,WAYAKIT GreenTech Faith hardwood and laminate floor cleaner [20 L],I2-Hardwood and laminate floor cleaner,288.85,Predicción Volumétrica (14.44 SAR/L)
FP-FAI-00603,WAYAKIT GreenTech Faith hardwood and laminate floor cleaner [Box of 12 units 700 mL],I2-Hardwood and laminate floor cleaner,87.73,Predicción Volumétrica (10.44 SAR/L)
FP-FAI-00800,WAYAKIT GreenTech Faith high performance carpet shampoo [700 mL],I3-High performance carpet shampoo,13.31,Predicción Volumétrica (19.01 SAR/L)
FP-FAI-00801,WAYAKIT GreenTech Faith high performance carpet shampoo [4 L],I3-High performance carpet shampoo,46.05,Predicción Volumétrica (11.51 SAR/L)
FP-FAI-00802,WAYAKIT GreenTech Faith high performance carpet shampoo [20 L],I3-High performance carpet shampoo,288.85,Predicción Volumétrica (14.44 SAR/L)
FP-FAI-00803,WAYAKIT GreenTech Faith high performance carpet shampoo [Box of 12 units 700 mL],I3-High performance carpet shampoo,87.73,Predicción Volumétrica (10.44 SAR/L)
FP-FAI-00900,WAYAKIT GreenTech Faith stain spot remover [700 mL],I3-Stain spot remover,13.31,Predicción Volumétrica (19.01 SAR/L)
FP-FAI-00901,WAYAKIT GreenTech Faith stain spot remover [4 L],I3-Stain spot remover,46.05,Predicción Volumétrica (11.51 SAR/L)
FP-FAI-00902,WAYAKIT GreenTech Faith stain spot remover [20 L],I3-Stain spot remover,288.85,Predicción Volumétrica (14.44 SAR/L)
FP-FAI-00903,WAYAKIT GreenTech Faith stain spot remover [Box of 12 units 700 mL],I3-Stain spot remover,87.73,Predicción Volumétrica (10.44 SAR/L)
FP-FAI-01000,WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [700 mL],"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",13.31,Predicción Volumétrica (19.01 SAR/L)
FP-FAI-01001,WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [4 L],"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",37.64,Predicción Volumétrica (9.41 SAR/L)
FP-FAI-01002,WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [20 L],"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",261.23,Predicción Volumétrica (13.06 SAR/L)
FP-FAI-01003,WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [Pack of 20 wet rags],"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",60.09,Predicción por Unidades (3.00 SAR/item)
FP-FAI-01004,WAYAKIT GreenTech Faith broad-spectrum cleaner and disinfectant for surfaces [Box of 12 units 700 mL],"I4-Broad-spectrum disinfectant for surfaces, shoe racks and storage areas",87.73,Predicción Volumétrica (10.44 SAR/L)
FP-FAI-01400,WAYAKIT GreenTech Faith air freshener [700 mL],I6-Restroom air freshener,13.31,Predicción Volumétrica (19.01 SAR/L)
FP-FAI-01401,WAYAKIT GreenTech Faith air freshener [4 L],I6-Restroom air freshener,46.05,Predicción Volumétrica (11.51 SAR/L)
FP-FAI-01402,WAYAKIT GreenTech Faith air freshener [20 L],I6-Restroom air freshener,288.85,Predicción Volumétrica (14.44 SAR/L)
FP-FAI-01403,WAYAKIT GreenTech Faith air freshener [Box of 12 units 700 mL],I6-Restroom air freshener,87.73,Predicción Volumétrica (10.44 SAR/L)
FP-FAI-01500,WAYAKIT GreenTech Faith shower and tile cleaner [700 mL],I6-Shower and tile cleaner,13.31,Predicción Volumétrica (19.01 SAR/L)
FP-FAI-01501,WAYAKIT GreenTech Faith shower and tile cleaner [4 L],I6-Shower and tile cleaner,46.05,Predicción Volumétrica (11.51 SAR/L)
FP-FAI-01502,WAYAKIT GreenTech Faith shower and tile cleaner [20 L],I6-Shower and tile cleaner,288.85,Predicción Volumétrica (14.44 SAR/L)
